,price,rating,brand,ram,ssd_storage,color,processor
413,136990.0,4.4,Hp,8,1024,Black,Amd
414,342490.0,4.6,Apple,24,2048,Silver,Unknown
415,194990.0,4.8,Apple,24,1024,Unknown,Unknown
416,73990.0,4.7,Apple,8,256,Silver,Unknown
417,101990.0,,Asus,16,512,Unknown,Intel
418,91990.0,5.0,Hp,16,512,Silver,Intel
419,73990.0,4.8,Apple,8,256,Indigo,Unknown
420,69990.0,3.2,Hp,16,512,Silver,Snapdragon
421,299990.0,,Asus,32,1024,Gray,Intel
422,67000.0,4.4,Lenovo,16,512,Gray,Snapdragon
423,342490.0,4.5,Apple,24,1024,Silver,Unknown
424,200490.0,4.7,Apple,16,1024,Silver,Unknown
425,103990.0,4.5,Lenovo,16,1024,Gray,Intel
426,19990.0,5.0,Acer,4,512,Black,Mediatek
427,69999.0,4.1,Lenovo,16,1024,Gray,Intel
428,,4.1,Lenovo,16,512,Gray,Intel
429,82970.0,4.0,Lenovo,16,512,Unknown,Amd
430,87990.0,4.1,Dell,16,512,Silver,Intel
431,51990.0,3.3,Acer,16,512,Gray,Amd
432,44604.0,1.0,Hp,8,256,Unknown,Amd
433,53780.0,3.2,Hp,16,512,Silver,Amd
434,64390.0,3.8,Acer,16,512,Silver,Intel
435,56000.0,4.2,Hp,8,512,Silver,Intel
436,53990.0,2.0,Dell,8,512,Black,Unknown
437,342490.0,4.6,Apple,24,2048,Silver,Unknown
438,172490.0,4.7,Apple,16,1024,Blue,Unknown
439,73990.0,4.7,Apple,8,256,Silver,Unknown
440,51990.0,3.3,Acer,16,512,Gray,Amd
441,68990.0,3.6,Hp,16,512,Silver,Intel
442,222990.0,5.0,Apple,24,1024,Unknown,Unknown
443,73990.0,4.8,Apple,8,256,Indigo,Unknown
444,75990.0,3.6,Hp,16,512,Silver,Intel
445,,3.6,Lenovo,16,512,Gray,Intel
446,342490.0,4.5,Apple,24,1024,Silver,Unknown
447,69990.0,3.2,Hp,16,512,Silver,Snapdragon
448,67000.0,4.4,Lenovo,16,512,Gray,Snapdragon
449,64390.0,3.8,Acer,16,512,Silver,Intel
450,40999.0,,Acer,8,512,Gray,Amd
451,,4.1,Lenovo,16,512,Gray,Intel
452,47999.0,3.9,Hp,16,512,Silver,Amd
453,83400.0,4.1,Lenovo,16,512,Gray,Intel
454,79790.0,2.5,Dell,16,1024,Silver,Intel
455,65999.0,,Acer,8,512,Unknown,Intel
456,42999.0,3.1,Hp,16,256,Black,Amd
457,71990.0,4.5,Asus,16,1024,Blue,Intel
458,115990.0,3.6,Hp,16,1024,Silver,Intel
459,40990.0,5.0,Acer,16,256,Silver,Amd
460,342490.0,4.6,Apple,24,2048,Silver,Unknown
461,69990.0,3.2,Hp,16,512,Silver,Snapdragon
462,194990.0,4.8,Apple,24,1024,Unknown,Unknown
463,54990.0,,Asus,8,512,Green,Amd
464,231500.0,5.0,Lenovo,32,1024,Black,Intel
465,73990.0,4.8,Apple,8,256,Indigo,Unknown
466,73990.0,4.7,Apple,8,256,Silver,Unknown
467,513990.0,2.4,Apple,36,2048,Silver,Unknown
468,200490.0,4.7,Apple,16,1024,Silver,Unknown
469,84990.0,2.8,Lenovo,16,512,Gray,Intel
470,68490.0,3.9,Lenovo,16,512,Gray,Amd
471,69990.0,3.2,Hp,16,512,Silver,Snapdragon
472,342490.0,4.6,Apple,24,2048,Silver,Unknown
473,194990.0,4.8,Apple,24,1024,Unknown,Unknown
474,75990.0,3.6,Hp,16,512,Silver,Intel
475,73990.0,4.7,Apple,8,256,Silver,Unknown
476,73990.0,4.8,Apple,8,256,Indigo,Unknown
477,342490.0,4.5,Apple,24,1024,Silver,Unknown
478,200490.0,4.7,Apple,16,1024,Silver,Unknown
479,342490.0,4.6,Apple,24,2048,Silver,Unknown
480,194990.0,4.8,Apple,24,1024,Unknown,Unknown
481,69990.0,3.2,Hp,16,512,Silver,Snapdragon
482,75990.0,3.6,Hp,16,512,Silver,Intel
483,73990.0,4.7,Apple,8,256,Silver,Unknown
484,73990.0,4.8,Apple,8,256,Indigo,Unknown
485,342490.0,4.5,Apple,24,1024,Silver,Unknown
486,200490.0,4.7,Apple,16,1024,Silver,Unknown
487,84990.0,2.8,Lenovo,16,512,Gray,Intel
488,342490.0,4.6,Apple,24,2048,Silver,Unknown
489,172490.0,4.7,Apple,16,1024,Blue,Unknown
490,69990.0,3.2,Hp,16,512,Silver,Snapdragon
491,73990.0,4.7,Apple,8,256,Silver,Unknown
492,73990.0,4.8,Apple,8,256,Unknown,Unknown
493,342490.0,4.5,Apple,24,1024,Silver,Unknown
494,200490.0,4.7,Apple,16,1024,Silver,Unknown
